offsetCenter,vehicle rotation,road rotation,steeringAngle,is_junction
0.501,-179.75628662109375,-179.92672729492188,0.0,True
0.497,-179.75628662109375,-179.92672729492188,0.1,True
0.494,-179.75628662109375,-179.92672729492188,0.1,True
0.489,-179.75628662109375,-179.92672729492188,0.1,True
0.485,-179.75628662109375,-179.92672729492188,0.1,True
0.48,-179.75628662109375,-179.92672729492188,0.1,True
0.498,-179.75628662109375,-179.92672729492188,0.0,True
0.492,-179.75628662109375,-179.92672729492188,0.0,True
0.486,-179.75628662109375,-179.92672729492188,0.0,True
0.479,-179.75628662109375,-179.92672729492188,0.0,True
0.473,-179.75628662109375,-179.92672729492188,0.1,True
0.467,-179.75628662109375,-179.92672729492188,0.1,True
0.46,-179.75628662109375,-179.92672729492188,0.1,True
0.451,-179.75628662109375,-179.92672729492188,0.1,True
0.449,-179.75628662109375,-179.92672729492188,0.0,True
0.438,-179.75628662109375,-179.92672729492188,0.0,True
0.431,-179.75628662109375,-179.92672729492188,0.0,True
0.422,-179.75628662109375,-179.92672729492188,0.0,True
0.411,-179.75628662109375,-179.92672729492188,0.0,True
0.399,-179.75628662109375,-179.92672729492188,0.1,True
0.389,-179.75628662109375,-179.92672729492188,0.1,True
0.375,-179.75628662109375,-179.92672729492188,0.0,True
0.359,-179.75628662109375,-179.92672729492188,0.0,True
0.343,-179.75628662109375,-179.92672729492188,0.0,True
0.328,-179.75628662109375,-179.92672729492188,0.0,True
0.31,-179.75628662109375,-179.92672729492188,0.0,True
0.295,-179.75628662109375,-179.92672729492188,0.0,True
0.279,-179.75628662109375,-179.92672729492188,0.0,True
0.265,-179.75628662109375,-179.92672729492188,0.1,True
0.252,-179.75628662109375,-179.92672729492188,0.1,True
0.237,-179.75628662109375,-179.92672729492188,0.0,True
0.222,-179.75628662109375,-179.92672729492188,0.0,True
0.211,-179.75628662109375,-179.92672729492188,0.0,True
0.197,-179.75628662109375,-179.92672729492188,0.0,True
0.186,-179.75628662109375,-179.92672729492188,0.0,True
